,protein,r2score,rho,p-values,r2_mRNA_protein,r2_mRNA_protein_basic_linear_regression,p-val adj. BH
3815,MECR,0.39572422336415325,0.722095238095238,2.048782930536921e-21,-0.10273700523239704,0.15066102428837486,8.998079776900503e-21
7546,VSNL1,0.4458905493615891,0.7220873861112412,2.0517922374111386e-21,0.4369829663300483,0.5161577255743752,9.006239551644178e-21
450,ARHGEF10,0.4966891376339416,0.7220197973702953,2.0778750593138455e-21,0.4748039752048905,0.5374605152330318,9.115613412200168e-21
1499,CRYAB,0.505575164681759,0.7219231950844853,2.115717339289292e-21,0.64612148719147,0.6546185953756504,9.276424343004956e-21
4189,MYO1D,0.49430803925889977,0.7218986175115206,2.1254520845481425e-21,-0.17024872240014877,0.257536960982004,9.313885829319647e-21
1040,CD38,0.3758918278018638,0.7218064516129031,2.1623485158107077e-21,0.1753719187708087,0.2882678697347951,9.459670073082414e-21
653,BAZ1B,0.549162263116434,0.7218064516129031,2.1623485158107077e-21,0.17411748265571558,0.31604450718494925,9.459670073082414e-21
2687,GPC1,0.4434210896539924,0.7218064516129031,2.1623485158107077e-21,0.37606440505085603,0.44845365685738275,9.459670073082414e-21
498,ARPC1A,0.46795916527828696,0.7218003072196619,2.1648303970656074e-21,-1.8078067978213332,0.028552625639125074,9.46523385458199e-21
4805,PDHA1,0.4723134563911292,0.7217204301075267,2.197349131715307e-21,-0.23960810535739974,0.12638673413116885,9.602047434791692e-21
3180,IMMT,0.4524889114410887,0.7217081413210444,2.2023941730667096e-21,-0.3596303262956937,0.08635399195944884,9.618719833460527e-21
708,BLVRB,0.4531845971332632,0.7216774193548385,2.2150563214818118e-21,-0.4103241668910351,0.10231196967140307,9.668621956825185e-21
5531,RAD50,0.4534377666144537,0.7216712749615973,2.2175972693838928e-21,-0.35378699032792893,0.15336663575393158,9.67431446799822e-21
7594,WDR46,0.4733688408952812,0.7216651305683562,2.220141063938438e-21,0.1999396162809075,0.3592257633094338,9.680013044663579e-21
3649,LYPLA1,0.4786506160644307,0.721615975422427,2.240594274011127e-21,0.011585147141206287,0.2236421365032217,9.75831203302619e-21
6924,TIPRL,0.5210610315160382,0.721615975422427,2.240594274011127e-21,0.26609642506938647,0.39444880955839146,9.75831203302619e-21
168,AFAP1,0.4704441207165666,0.7216036866359447,2.2457362616729333e-21,0.45706255776025084,0.5544674769601144,9.775263794549628e-21
6660,STXBP2,0.5269801802348748,0.7215913978494621,2.2508897736118783e-21,0.09194663412099735,0.32420048729479756,9.79224683492331e-21
7403,UNG,0.31076900257172646,0.721585253456221,2.2534708590592413e-21,-0.14868942803744334,0.1024521302206354,9.798026158733399e-21
1820,DNAJC10,0.542533995623491,0.721505376344086,2.287289160828843e-21,0.2187736135042183,0.45411415767188923,9.939542120001783e-21
3471,LANCL1,0.5229532631239049,0.7214992319508448,2.289911002307089e-21,-0.3854540962687485,0.11884882135711294,9.945410249886759e-21
2381,FILIP1,0.41888289111146637,0.7214735889688934,2.3008847047242272e-21,-0.010631128828098468,0.36801527526667427,9.987525061239126e-21
1969,EFEMP2,0.4685130711123693,0.7213087557603686,2.3726599026849168e-21,-0.34371984298962865,0.10598756422479466,1.029336980521432e-20
4611,OCLN,0.34520085801007483,0.7212930420580523,2.3796153741382803e-21,0.12646906374400024,0.29075226267959475,1.0317822315138374e-20
3680,MAGI3,0.4328719317398082,0.7212096324697821,2.416870282008322e-21,0.3129423814416715,0.4052576548556914,1.0473550884138003e-20
3277,ITGAV,0.4982778306736998,0.7211858678955452,2.4275885948553515e-21,0.1841040683850309,0.32083531694819006,1.0514173858781041e-20
6078,SEC63,0.5366788652155928,0.7210814132104454,2.4752528471238335e-21,-0.42953027231945806,0.13306434064993047,1.0714680559049599e-20
4373,NEO1,0.4175529186542837,0.7210629800307219,2.4837585370098134e-21,0.18061425772007578,0.35794336441047464,1.0733679158282187e-20
4510,NSDHL,0.5054773698579562,0.7210629800307219,2.4837585370098134e-21,0.2546887715502629,0.38894910030544183,1.0733679158282187e-20
3739,MAPKAPK2,0.5231746207222381,0.7210629800307219,2.4837585370098134e-21,0.013431583406852354,0.2540679100996434,1.0733679158282187e-20
4281,NCK2,0.5111645295621264,0.7210506912442396,2.48944484815536e-21,-0.07422247490159362,0.2071068102286887,1.0752312314893002e-20
2423,FNDC3A,0.4897890145174213,0.7210445468509984,2.492292769467846e-21,-0.5383224766089811,0.17755383876592423,1.0758672209038352e-20
3306,JAK1,0.4427471336931149,0.7209892473118279,2.5180676583548955e-21,-0.2820606453848884,0.11903898768737585,1.0863941105158298e-20
5967,SAFB,0.46107875129081755,0.7208356374807987,2.5910381500075505e-21,-0.18907125240831402,0.24476172810056263,1.1172602210231015e-20
6597,STAMBP,0.49332409792299015,0.7207434715821812,2.635807438389459e-21,0.2220809391894505,0.3511110478151459,1.1359386106381458e-20
1362,COL15A1,0.475257765241748,0.72073732718894,2.6388187710653143e-21,-0.5004378438077437,0.13282498172307158,1.1366101556868331e-20
4669,OXCT1,0.46976459608821364,0.7207311827956988,2.6418334635519808e-21,0.5385272224580238,0.5493399131111675,1.1372824079198455e-20
824,C3,0.5077658052829876,0.720700460829493,2.6569574513088666e-21,-0.6640315030398136,0.05271951679944547,1.1431639815257402e-20
761,BTN3A3,0.2542607110020123,0.7206001852545909,2.7069124492386353e-21,0.15010551232524927,0.2718161420370703,1.164016997138241e-20
